Record ID,Original Traffic Source,Lead Status,Associated Note,intent_score
191145000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.7
150247000000.0,Organic Search,Connected,Note redacted for privacy compliance,0.7
160171000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.7
152673000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.7
171920000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.7
160176000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.7
160151000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.7
160111000000.0,Offline Sources,Discovery Completed,Note redacted for privacy compliance,0.7
150612000000.0,Offline Sources,In Progress,Note redacted for privacy compliance,0.7
160123000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.7
160091000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.7
160152000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.7
146560000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.7
160179000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.7
160168000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.4
172232000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.4
163869000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
163302000000.0,Organic Search,In Progress,Note redacted for privacy compliance,0.3
191131000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.3
157670000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
160179000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
158750000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160108000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160143000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160165000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160166000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160108000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
160168000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
161502000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
160166000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
160179000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160167000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
191131000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.3
160168000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.3
151630000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
160180000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
146556000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.3
146880000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.3
148921000000.0,Offline Sources,In Progress,Note redacted for privacy compliance,0.3
